"scientific_name","common_english","common_indonesian","common_malay","description","image_url","source_url_1","source_url_2","data_source"
"Anorrhinus galeritus","Bushy-crested Hornbill","Enggang Klihingan","Arau","A medium-sized, mostly black hornbill found in Brunei, Indonesia, Malaysia, Myanmar, and Thailand, inhabiting lowland and foothill tropical forests. It has a glossy black body, a two-toned tail, and pale facial skin; males have fully black bills, while females have pale brown bill tips. Fairly social, often foraging in medium-sized groups, and commonly seen in dense forest as well as openings like clearings or river edges.","https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Two_Bushy-crested_Hornbills_%28Anorrhinus_galeritus%29_in_a_tree.jpg/500px-Two_Bushy-crested_Hornbills_%28Anorrhinus_galeritus%29_in_a_tree.jpg","https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=1FD5EBCDC27DA9E8","https://ebird.org/species/buchor1","birdApp classification_dict"
"Anthipes solitaris","Rufous-browed Flycatcher","Sikatan Kerongkongan-putih","Sambar Leher Putih","A small flycatcher found in Indonesia, Laos, Malaysia, Myanmar, Thailand, and Vietnam, inhabiting subtropical and tropical montane forests. It has a bright white throat with strong rufous-orange markings on the eyebrow and forehead. Feeds actively near the ground in low vegetation, gleaning from leaves and catching insects in short flights.","https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Ficedula_solitaris_1_-_Mae_Wong.jpg/500px-Ficedula_solitaris_1_-_Mae_Wong.jpg","https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=EBEB71F081554304","https://ebird.org/species/rubfly3","birdApp classification_dict"
"Anthracoceros malayanus","Black Hornbill","Kangkareng Hitam","Enggang Gatal Birah","A large, black hornbill found in Brunei, Indonesia, Malaysia, Singapore, and Thailand, inhabiting old lowland forests. Males have heavy ivory-colored bills, sometimes with bright white eyebrow markings or entirely black heads, while females have darker bills and reddish facial skin with fainter brow markings. Usually seen alone, in pairs, or small groups, typically in the lower canopy compared to larger hornbills.","https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Anthracoceros_albirostris.jpg/960px-Anthracoceros_albirostris.jpg","https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=6DC62BCF7C45C97C","http://ebird.org/species/blahor1","birdApp classification_dict (image URL replaced, original was dead/rejected)"
"Anthreptes malacensis","Plain-throated Sunbird","Madu Kelapa","Kelicap Mayang Kelapa","A medium-sized sunbird with a relatively short bill, common across much of Southeast Asia in open forests, forest edges, and urban areas. Males have a brown face, reddish throat, and greenish-blue crown and back, while females are plainer with yellow underparts, brownish-grey head, and faint eye-rings.","https://upload.wikimedia.org/wikipedia/commons/3/38/Brown-throated_Sunbird.jpg","https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=7F96C52A42C0C7A7","https://ebird.org/species/pltsun2","birdApp classification_dict"
"Arachnothera longirostra","Little Spiderhunter","Pijantung Kecil","Kelicap Jantung","A small, active nectar-feeding bird with a long, slightly curved bill, found in moist forests of South and Southeast Asia. It has an olive back, lemon-yellow underparts, and a pale grey-white facial pattern. Inhabits the lower strata of secondary forests, forest edges, plantations, and gardens. Feeds on nectar, especially from banana flowers, and also consumes other insects.","https://upload.wikimedia.org/wikipedia/commons/e/e6/Little_spiderhunter_India.jpg","https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=B4EF3CAD7F76988C","https://ebird.org/species/litspi1","birdApp classification_dict"
"Arachnothera magna","Streaked Spiderhunter","","Kelicap Jantung Gunung","A large spiderhunter found in tropical and subtropical hill forests. It has a long, curved black bill, yellow-green upperparts with black streaks, and lighter yellow underparts. Feeds on invertebrates from foliage and nectar from flowers. Often moves in mixed-species flocks.","https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Streaked_Spiderhunter.jpg/500px-Streaked_Spiderhunter.jpg","https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=3E2ED01122D6785C","https://ebird.org/species/strspi1","birdApp classification_dict"
"Batrachostomus affinis","Blyth's Frogmouth","Paruh-kodok melayu","Segan Melayu","A cryptic, nocturnal bird found in lowland and foothill forests up to 800 m in Brunei, Cambodia, Indonesia, Laos, Malaysia, Myanmar, Thailand, and Vietnam. Males have broad wing bars, whitish underparts, and irregular white spots on the chest, while females are lighter brown, almost rufous, with fewer bars and a wide “necklace” of white spots. In Indonesia, its range overlaps with other frogmouth species, but it is the only frogmouth across most of its distribution.","https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Blyth%27s_Frogmouth_-_Krung_Ching_National_Park_%28cropped%29.jpg/500px-Blyth%27s_Frogmouth_-_Krung_Ching_National_Park_%28cropped%29.jpg","https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=30D8DCD5BE74582B","https://ebird.org/species/javfro2","birdApp classification_dict"
"Batrachostomus stellatus","Gould's Frogmouth","Paruh-kodok Bintang","Segan Bintik Emas","A cryptic, nocturnal frogmouth found in lowland and foothill forests. Both sexes are similar, with a bright rufous morph showing scattered white spots on the wings and scaled white underparts, and a darker brown morph with the same general pattern. Rarely seen, it can be distinguished from other frogmouth species by its overall pattern and lower-elevation habitat.","https://upload.wikimedia.org/wikipedia/commons/f/f9/Gould%27s_Frogmouth_-_Si_Phangnga_-_Thailand_MG_9666_%2814258331524%29.jpg","http://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=E325D31794477601","https://ebird.org/species/goufro1","birdApp classification_dict"
"Berenicornis comatus","White-crowned Hornbill","Enggang Jambul","Enggang Bulu","A large hornbill (83-102 cm) of the Malay Peninsula, Sumatra, and Borneo, inhabiting lowland and medium-altitude rainforest below about 900 m, occasionally using fruit, oil-palm, and rubber plantations. Males are white on the head, neck, breast, and tail with an erect white crest, and black elsewhere; females are almost entirely black except for the white crest, and both sexes show bare dark-blue skin between the eye and bill. It is territorial and feeds on fruit, lizards, arthropods, and larvae; the breeding female seals herself into a tree-hole nest and is fed through a narrow opening by the male and a cooperative group.","https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Bucerotidae_-_Berenicornis_comatus.jpg/250px-Bucerotidae_-_Berenicornis_comatus.jpg","https://avibase.bsc-eoc.org/species.jsp?avibaseid=89BFB892F327CBA6","https://birdsoftheworld.org/bow/species/whchor2/cur/introduction","manual research"
"Blythipicus rubiginosus","Maroon Woodpecker","Pelatuk Pangkas","Belatok Punggor","A dark maroon woodpecker with a glossy yellow bill and grey-brown head and underparts, found in Brunei, Indonesia, Malaysia, southern Myanmar, Singapore, and southern Thailand. Females generally have paler heads than males. Inhabits lowland and montane forests, foraging low or near the ground, often on fallen trunks and dense undergrowth. Often joins mixed-species flocks.","https://static.inaturalist.org/photos/359987636/medium.jpg","https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=9D8AAF5D7204C666","https://ebird.org/species/marwoo1","birdApp classification_dict"
"Brachypodius melanocephalos","Black-headed Bulbul","Cucak Kuricang","Merbah Siam","A small songbird in the bulbul family with a black head, found in forests of Southeast Asia. Commonly inhabits tropical and subtropical forests across its range.","https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Black_headed_bulbul.jpg/500px-Black_headed_bulbul.jpg","https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=C72EC8C8A7DF7AC2","https://ebird.org/species/marwoo1","birdApp classification_dict"
"Brachypteryx leucophris","Lesser Shortwing","Cingcoang Coklat","Murai Kakap","A small ground-dwelling chat found in dense vegetation, usually near streams. Both sexes are similar, overall brown or greyish with white eyebrows and throat. Secretive and difficult to see, it inhabits forest undergrowth in its Southeast Asian range.","https://upload.wikimedia.org/wikipedia/commons/e/e4/Lesser_Shortwing_-_Gunung_Gede_-_West_Java%2C_Indonesia.jpg","https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=26ACC9A5DF498230","https://ebird.org/species/lessho1","birdApp classification_dict"
"Brachypteryx montana","Javan Shortwing","Cingcoang biru","","A small dark chat found in the undergrowth and forest floor of montane rainforests in Java. Males are dark grey overall, slightly paler on the belly, while females have dark grey head and chest, rufous-brown back, wings, and rump, and paler brown-orange underparts. Both sexes have thin white eyebrows and long black legs. Feeds on the ground and on low fallen branches.","https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Brachypteryx_montana.jpg/500px-Brachypteryx_montana.jpg","https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=98AF741EB83AFF86","https://ebird.org/species/whbsho10","birdApp classification_dict"
"Buceros rhinoceros","Rhinoceros Hornbill","Enggang Cula","Enggang Badak","A large, striking hornbill found in lowland and foothill forests up to 1,400 m in Borneo, Sumatra, Java, the Malay Peninsula, Singapore, and southern Thailand. It has glossy black plumage with a white tail marked by a dark band, and a large bright orange bill with a prominent casque, short and rectangular in females, long and upward-curving in males. Often seen flying strongly over the forest, usually in pairs or small groups.","https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Buceros_rhinoceros_-Singapore_Zoo_-pair-8a.jpg/1920px-Buceros_rhinoceros_-Singapore_Zoo_-pair-8a.jpg","https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=0D3D9303B6AEB120","https://ebird.org/species/rhihor1","birdApp classification_dict"
"Cacomantis merulinus","Plaintive Cuckoo","Wiwik Kelabu","Mati Anak","A small and slender cuckoo with orange underparts, a grey head, and brown back and tail. A hepatic form shows rufous-brown upperparts and whitish underparts with dark barring. It inhabits open woodland, forest edges, and agricultural areas. Native to Asia, from India and Nepal to China and Indonesia.","https://upload.wikimedia.org/wikipedia/commons/7/72/Plaintive_Cuckoo_Cacomantis_merulinus_-_Cropped.jpg","https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=54089C784D4DFF4A","https://ebird.org/species/placuc1","birdApp classification_dict"
"Cacomantis sepulcralis","Sunda Brush Cuckoo","Wiwik Uncuing","Sewah Dada Oren","A medium-sized cuckoo with bright orange or yellowish-orange breast and belly. Western populations (Southeast Asia to Sulawesi) have yellow eye-rings and plainer tails, while eastern populations (Maluku, eastern Lesser Sundas, Papua, and Australia) show grey eye-rings and more heavily barred tails. In the west the orange extends to the throat, separating it from the plaintive cuckoo, while in the east the grey eye-ring distinguishes it from the fan-tailed cuckoo.","https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Rusty-breasted_Cuckoo.jpg/500px-Rusty-breasted_Cuckoo.jpg","https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=27E8D05F1ECF6905","https://ebird.org/species/brucuc2","birdApp classification_dict"
"Cacomantis sonneratii","Banded Bay Cuckoo","Wiwik Lurik","Sewah Takuweh","A slender brown cuckoo with broad fine barring, pale face, and whitish underparts. It has rufous upperparts with regular dark bands and a whitish underside with fine striations, often showing a white eyebrow. Found in lowland and foothill forests, usually perching unobtrusively in foliage, though males may sing from exposed branches in the breeding season. Distributed across the Indian subcontinent and Southeast Asia.","https://upload.wikimedia.org/wikipedia/commons/c/c7/BandedBayCuckoo.jpg","https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=9E932BD457D4039A","https://ebird.org/species/babcuc2","birdApp classification_dict"
"Calyptomena viridis","Green Broadbill","Madi-hijau Kecil","Selawit","A small, bright green bird with a distinctive umbrella-shaped head. Males have black wings and a dark comma mark behind the eye, while females are paler green and lack dark markings. It inhabits lowland forests, overlapping in Borneo with other green broadbills that occur at higher elevations. Compared to similar species, females lack black, wing markings are clear bars rather than spots, and the bird is overall larger. Belongs to the family Calyptomenidae, formerly placed in Eurylaimidae.","https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Calyptomena_viridis_caudacuta_232080909.jpg/960px-Calyptomena_viridis_caudacuta_232080909.jpg","https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=0E127F062014989A","https://ebird.org/species/grebro1","birdApp classification_dict (image URL replaced, original was dead/rejected)"
"Calyptomena whiteheadi","Whitehead's Broadbill","Madi-hijau whitehead","","A large, vivid green broadbill with heavy black mottling and streaking. Males show black on the throat and underparts, while females are smaller and lack black markings. Endemic to the montane forests of north-central Borneo, usually at 900–1,700 m. Found singly, in pairs, or in small groups, often around fruiting trees.","https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Whitehead%27s_Broadbill_0A2A9668.jpg/1920px-Whitehead%27s_Broadbill_0A2A9668.jpg","https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=406E9C46C1EBBDA3","https://ebird.org/species/whibro1","birdApp classification_dict"
"Caprimulgus macrurus","Large-tailed Nightjar","Cabak Maling","Malas","A nocturnal bird with intricate grey-brown plumage, bright brown ear patches, and black, chestnut, and brown-barred wings. Shows prominent white tail corners in flight. Usually rests on the ground or low branches in open forest, secondary growth, plantations, gardens, and even under streetlights while foraging. Widespread from the Himalayan foothills through South and Southeast Asia to northern Australia, inhabiting lowland, montane, and mangrove forests.","https://upload.wikimedia.org/wikipedia/commons/4/4b/Caprimulgus_macrurus.jpg","https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=04DDADF0515EECDA","https://ebird.org/species/latnig2","birdApp classification_dict"
"Carpococcyx radiceus","Bornean Ground-Cuckoo","Tokhtor Kalimantan","Sewah Tanah","A large terrestrial cuckoo with glossy greenish-purple wings, long dark tail, finely barred upperparts, black head, and pale greenish-blue face and bill. It forages on the ground, often following ant columns or wild pigs to catch disturbed prey. Endemic to Borneo, where it inhabits lowland primary forests, especially swampy or riverine areas. Threatened by habitat loss, and was once considered conspecific with the Sumatran ground cuckoo.","https://upload.wikimedia.org/wikipedia/commons/4/42/Carpococcyx_radiceus_102418105_%28cropped%29.jpg","https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=241281623A34076E","https://ebird.org/species/bogcuc1","birdApp classification_dict"
"Centropus bengalensis","Lesser Coucal","Bubut Alang-alang","Bubut Kecil","A medium-sized, sturdy cuckoo often found in grasslands, scrub, forest edges, and plantations. Adults are black with bright chestnut wings and fine silvery streaks on the neck and shoulders. Juveniles are browner above, paler below, with duller chestnut wings and barred tails. Smaller than the greater coucal, with darker eyes and duller chestnut upperparts marked with silvery streaks. Distributed widely across marshy and shrubby habitats, it is one of the few coucals with seasonal plumage variation.","https://upload.wikimedia.org/wikipedia/commons/b/bc/Lesser-coucal.jpg","https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=FD7D022A4569390B","https://ebird.org/species/lescou1","birdApp classification_dict"
"Centropus celebensis","Bay Coucal","Bubut Sulawesi","","A rufous-brown coucal with a long, often ragged tail. Juveniles show paler eyes and a lighter breast and throat than adults. Found singly or in pairs in lowland and foothill forests, especially in dense tangles and forest edges. Differs from the lesser coucal by its entirely brown plumage lacking black. Endemic to Indonesia.","https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Bay_Coucal_%28Centropus_celebensis%29.jpg/500px-Bay_Coucal_%28Centropus_celebensis%29.jpg","https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=A3CDA02CC041C42E","https://ebird.org/species/baycou1","birdApp classification_dict"
"Centropus rectunguis","Short-toed Coucal","Bubut Hutan","Burung But-but Jari Pendek","A burly, long-tailed coucal found in lowland forest of Brunei, the Malay Peninsula/Thailand, Sumatra, and Borneo, preferring dense lowland and foothill rainforest but also occurring in scrubby or grassy areas with heavy cover. Adults are coal-black with bright rufous wings and back; juveniles are messier-looking with extensive pale barring over much of the upperparts. It closely resembles the Greater Coucal but is smaller and shorter-tailed, and it gives sad, muffled hoots.","https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Short-toed_Coucal_%28Centropus_rectunguis%29.jpg/250px-Short-toed_Coucal_%28Centropus_rectunguis%29.jpg","https://avibase.bsc-eoc.org/species.jsp?avibaseid=B4E9B5B65CF35D76","https://ebird.org/species/shtcou1","manual research"
"Centropus sinensis","Greater Coucal","Bubut besar","Bubut Besar","A very large, crow-like cuckoo with glossy black body, long thick black tail, and striking chestnut wings. Adults have dark red eyes, while juveniles are duller with white barring on the tail and underparts and variable black streaking on the wings and upperparts. Found in a wide range of habitats from forests to farmland and gardens, but generally absent from dense primary forest. Larger than the lesser coucal, with a longer bill, red eyes, and no white streaks on the wings.","https://upload.wikimedia.org/wikipedia/commons/1/1b/Greater_Coucal.jpg","https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=F5F991ACE09A8601","https://ebird.org/species/grecou1","birdApp classification_dict"
"Cettia vulcania","Sunda Bush Warbler","Ceret Gunung","","Restricted to montane Java, Bali, Lombok, and Sumbawa. Like others in the Aberrant Bush Warbler complex it belongs to, it is a nondescript, olive-brown, insectivorous bird with a well-defined long supercilium and a longish tail habitually held cocked, skulking through dense, low vegetation and heard far more often than seen. Taxonomy is unsettled: Avibase currently treats it as a full species (Horornis vulcanius), while eBird/Clements/Birds of the World currently lump it within the wider-ranging Aberrant Bush Warbler.","https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Aberrant_Bush_Warbler_0A2A4060.jpg/250px-Aberrant_Bush_Warbler_0A2A4060.jpg","https://avibase.bsc-eoc.org/species.jsp?avibaseid=8C91ADCBD3FA353B","https://ebird.org/species/subwar4","manual research"
"Chloropsis cyanopogon","Lesser Green Leafbird","Cica-daun Kecil","Daun Kecil","A small bright-green leafbird, with males showing a black-blue throat and females sometimes a yellowish wash on the throat. Resembles the greater green leafbird but has a narrower black mask and a touch of yellow on the forehead, and lacks blue in the wings unlike the blue-winged and Bornean leafbirds. Found in lowland broadleaf forests, secondary growth, plantations, and large gardens, usually in the canopy and often joining mixed-species flocks. Threatened by habitat loss across its range in Southeast Asia.","https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Lesser_Green_Leafbird_%28Female%29.jpg/1280px-Lesser_Green_Leafbird_%28Female%29.jpg","https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=3EB2B90E20CC841E","https://ebird.org/species/leglea1","birdApp classification_dict"
"Chrysococcyx minutillus","Little Bronze-Cuckoo","Kedasi Laut","Sewah Daun","The world’s smallest cuckoo, only about 15 cm long and 17 g in weight. Glossy bronze-green above with barred underparts, showing red or dark eyes depending on the subspecies. Found in lowland forests across Southeast Asia, New Guinea, and northern to eastern Australia. Some subspecies, including rufomerus and crassirostris, are sometimes treated as separate species.","https://upload.wikimedia.org/wikipedia/commons/9/9e/Little_Bronze_Cuckoo_male_Kobble.jpg","https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=D53BAFB3216517A6","","birdApp classification_dict"
"Chrysocolaptes lucidus","Greater Flameback","","","Likely refers to the same species as Chrysocolaptes guttacristatus (see that entry) under an older, broader taxonomy that once covered the whole Greater Flameback complex. A large woodpecker (33 cm) with an erect crest and a golden-yellow to dark brown back, found in forests from the Himalayan foothills through the Malay Peninsula, Sumatra, Java, and northeast Borneo.","https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Greater_flameback.jpg/960px-Greater_flameback.jpg","https://avibase.bsc-eoc.org/species.jsp?avibaseid=A837BACA90F17C8E","https://ebird.org/species/grefla1","manual research"
"Chrysophlegma mentale","Checker-throated Woodpecker","Pelatuk Kumis-kelabu","Belatok Ranting","A medium-sized woodpecker, moss-green overall with blood-red wings and neck, a bright yellow crest, and pale hindneck. The throat shows indistinct black-and-white checkering. Prefers mature lowland and hill forests, rarely venturing into secondary growth or open edges. Forages mainly in the mid-canopy, usually alone, in pairs, or with mixed-species flocks. Native to Southeast Asia.","https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Checker-throated_Woodpecker_%28Picus_mentalis_humii%29.jpg/500px-Checker-throated_Woodpecker_%28Picus_mentalis_humii%29.jpg","https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=FE28266C99D6A78A","https://ebird.org/species/chtwoo1","birdApp classification_dict"
"Cinnyris jugularis","Garden Sunbird","Madu sriganti","","A small, active sunbird common in gardens, parks, and forest edges, and the most widespread urban sunbird across much of its range. Both sexes have plain olive backs, yellow underparts, and white tail edges shown in flight. Males show a shining blue throat, while females have a yellow throat and eyebrow. Geographic variation occurs, with some males in central-eastern Indonesia showing dark underparts. Smaller and slimmer-billed than the olive-backed sunbird female, which lacks white in the tail. Also compare with females of Leptocoma sunbirds.","https://upload.wikimedia.org/wikipedia/commons/b/bf/Cinnyris_jugularis_%28male%29_-Singapore_Botanic_Gardens-8.jpg","https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=0643F17D71DA593D","https://ebird.org/species/olbsun31","birdApp classification_dict"
"Cissa chinensis","Common Green-Magpie","Ekek Layongan","Burung Gagak Gunung","A member of the crow family, roughly the size of a Eurasian jay or slightly smaller, found from the lower Himalayas in northeastern India southeast through Thailand, Malaysia, Sumatra, and northwestern Borneo, in evergreen forest (including bamboo), clearings, and scrub. Wild birds are bright green (fading to turquoise in captivity or on a poor diet, since the pigment is carotenoid-based), with a thick black stripe from the bill through the eye to the nape, reddish-maroon wings, a fairly long white-tipped tail, and vivid red eye-rims, bill, and legs. It forages both on the ground and in the canopy, taking a high proportion of animal prey.","https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Cissa_chinensis_213540457.jpg/250px-Cissa_chinensis_213540457.jpg","https://avibase.bsc-eoc.org/species.jsp?avibaseid=ED4011E998AA443A","https://ebird.org/species/gremag1","manual research"
